Make,Model,DateTimeOriginal,ExposureTime,FNumber,ISOSpeedRatings,FocalLength,rgb,hsl,percentage,pixelFraction,score
,,,,,,,"rgb(57, 123, 167)","(204, 49%, 44%)",2.72,0.0272444449365139,0.19411146640777588
,,,,,,,"rgb(93, 172, 221)","(203, 65%, 62%)",1.92,0.019244443625211716,0.17420366406440735
,,,,,,,"rgb(112, 153, 184)","(206, 34%, 58%)",5.1,0.05097777768969536,0.14309054613113403
,,,,,,,"rgb(19, 61, 91)","(205, 65%, 22%)",3.7,0.03697777912020683,0.0439043752849102
,,,,,,,"rgb(85, 123, 156)","(208, 29%, 47%)",4.79,0.047911111265420914,0.13083912432193756
,,,,,,,"rgb(91, 156, 204)","(205, 53%, 58%)",0.93,0.009288888424634933,0.0733996033668518
,,,,,,,"rgb(58, 134, 178)","(202, 51%, 46%)",0.6,0.006044444628059864,0.05376676470041275
,,,,,,,"rgb(109, 188, 238)","(203, 79%, 68%)",0.63,0.006311111152172089,0.05341881513595581
,,,,,,,"rgb(56, 90, 120)","(208, 36%, 35%)",2.66,0.026577778160572052,0.03287576884031296
,,,,,,,"rgb(70, 131, 162)","(200, 40%, 45%)",0.42,0.00417777756229043,0.020042993128299713
